Metric,Value
route__drc_errors__iter:34,7
route__wirelength__iter:34,2360188
route__drc_errors__iter:35,4
route__wirelength__iter:35,2360201
route__drc_errors__iter:36,4
route__wirelength__iter:36,2360201
route__drc_errors__iter:37,4
route__wirelength__iter:37,2360201
route__drc_errors__iter:38,4
route__wirelength__iter:38,2360201
route__drc_errors__iter:39,0
route__wirelength__iter:39,2360203
route__drc_errors,0
route__wirelength,2360668
route__vias,278290
route__vias__singlecut,278290
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,3663.47
design__instance__count__class:fill_cell,52823
design__instance__area__class:fill_cell,352059
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,136
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,136
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,136
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,136
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_slow_1p08V_125C,1.19871
design_powergrid__drop__average__net:VPWR__corner:nom_slow_1p08V_125C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_slow_1p08V_125C,0.00128582
design_powergrid__voltage__worst__net:VGND__corner:nom_slow_1p08V_125C,0.000388664
design_powergrid__drop__average__net:VGND__corner:nom_slow_1p08V_125C,0.0000414638
design_powergrid__drop__worst__net:VGND__corner:nom_slow_1p08V_125C,0.000388664
flow__warnings__count:STA-1648,533
flow__warnings__count:STA-1650,1001
design_powergrid__voltage__worst,0.000388664
design_powergrid__voltage__worst__net:VPWR,1.19871
design_powergrid__drop__worst,0.00128582
design_powergrid__drop__worst__net:VPWR,0.00128582
design_powergrid__voltage__worst__net:VGND,0.000388664
design_powergrid__drop__worst__net:VGND,0.000388664
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000511000000000000020286723689810770565600250847637653350830078125
ir__drop__worst,0.0012899999999999999140964934696285126847214996814727783203125
klayout__drc_error__count,0
magic__illegal_overlap__count,39
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
